nm, A
2245.000000, 0.041966
2244.000000, -0.016917
2243.000000, 0.036636
2242.000000, 0.041254
2241.000000, 0.047397
2240.000000, 0.083886
2239.000000, 0.070002
2238.000000, 0.044168
2237.000000, 0.105513
2236.000000, 0.085795
2235.000000, 0.090849
2234.000000, 0.052386
2233.000000, 0.102788
2232.000000, 0.157435
2231.000000, 0.069244
2230.000000, 0.101081
2229.000000, 0.159661
2228.000000, 0.169030
2227.000000, 0.077282
2226.000000, 0.108086
2225.000000, 0.254640
2224.000000, 0.179590
2223.000000, 0.076937
2222.000000, 0.031333
2221.000000, 0.054547
2220.000000, 0.075006
2219.000000, 0.132166
2218.000000, 0.076217
2217.000000, -0.006605
2216.000000, 0.017626
2215.000000, 0.057074
2214.000000, 0.098070
2213.000000, 0.033599
2212.000000, 0.058815
2211.000000, 0.086611
2210.000000, 0.076757
2209.000000, 0.061057
2208.000000, 0.085607
2207.000000, 0.033247
2206.000000, 0.059726
2205.000000, 0.100770
2204.000000, 0.125074
2203.000000, 0.155421
2202.000000, 0.123470
2201.000000, 0.030084
2200.000000, 0.071502
2199.000000, 0.080072
2198.000000, 0.021206
2197.000000, 0.082102
2196.000000, 0.078340
2195.000000, 0.068045
2194.000000, 0.084058
2193.000000, 0.056928
2192.000000, 0.041005
2191.000000, 0.118219
2190.000000, 0.085460
2189.000000, 0.073240
2188.000000, 0.091736
2187.000000, 0.062821
2186.000000, 0.102275
2185.000000, 0.079388
2184.000000, 0.058972
2183.000000, 0.026732
2182.000000, 0.053238
2181.000000, 0.131428
2180.000000, 0.101303
2179.000000, 0.082223
2178.000000, 0.071694
2177.000000, 0.102575
2176.000000, 0.019471
2175.000000, 0.029967
2174.000000, 0.089209
2173.000000, 0.055876
2172.000000, 0.069057
2171.000000, 0.077213
2170.000000, 0.068312
2169.000000, 0.025210
2168.000000, 0.134656
2167.000000, 0.122623
2166.000000, 0.131465
2165.000000, 0.189331
2164.000000, 0.152821
2163.000000, 0.039657
2162.000000, 0.008452
2161.000000, 0.062963
2160.000000, 0.055860
2159.000000, 0.029572
2158.000000, 0.030111
2157.000000, 0.066177
2156.000000, 0.040774
2155.000000, 0.129592
2154.000000, 0.048861
2153.000000, 0.052228
2152.000000, 0.035501
2151.000000, 0.091143
2150.000000, 0.071447
2149.000000, 0.110920
2148.000000, 0.175594
2147.000000, 0.150080
2146.000000, 0.044633
2145.000000, 0.092236
2144.000000, 0.006404
2143.000000, 0.030665
2142.000000, 0.045508
2141.000000, -0.008519
2140.000000, 0.123498
2139.000000, 0.047745
2138.000000, 0.060483
2137.000000, 0.036604
2136.000000, 0.069454
2135.000000, 0.023249
2134.000000, 0.144347
2133.000000, 0.137161
2132.000000, 0.057315
2131.000000, 0.057760
2130.000000, 0.047770
2129.000000, 0.022933
2128.000000, 0.068244
2127.000000, 0.019602
2126.000000, 0.039792
2125.000000, 0.006030
2124.000000, 0.119343
2123.000000, 0.038029
2122.000000, 0.083047
2121.000000, 0.049368
2120.000000, 0.020325
2119.000000, 0.104982
2118.000000, -0.005380
2117.000000, 0.063655
2116.000000, 0.052976
2115.000000, 0.073027
2114.000000, 0.089844
2113.000000, 0.157046
2112.000000, 0.113337
2111.000000, 0.052794
2110.000000, 0.025952
2109.000000, 0.096944
2108.000000, 0.003687
2107.000000, 0.090378
2106.000000, 0.005844
2105.000000, 0.003611
2104.000000, 0.135495
2103.000000, 0.037800
2102.000000, 0.077324
2101.000000, 0.007329
2100.000000, 0.132834
2099.000000, 0.047787
2098.000000, 0.050609
2097.000000, 0.012224
2096.000000, 0.140663
2095.000000, 0.036546
2094.000000, 0.051307
2093.000000, 0.054245
2092.000000, 0.085382
2091.000000, 0.144626
2090.000000, 0.155745
2089.000000, 0.147775
2088.000000, 0.027440
2087.000000, 0.025410
2086.000000, 0.012878
2085.000000, 0.079935
2084.000000, 0.054709
2083.000000, 0.031036
2082.000000, 0.035811
2081.000000, 0.026367
2080.000000, 0.074851
2079.000000, 0.063228
2078.000000, 0.080294
2077.000000, 0.010861
2076.000000, 0.109483
2075.000000, 0.046065
2074.000000, 0.091366
2073.000000, 0.103208
2072.000000, 0.086643
2071.000000, 0.024678
2070.000000, 0.034148
2069.000000, 0.116486
2068.000000, 0.060200
2067.000000, 0.073378
2066.000000, 0.056116
2065.000000, 0.047476
2064.000000, 0.079873
2063.000000, 0.031239
2062.000000, 0.034089
2061.000000, 0.015477
2060.000000, 0.091328
2059.000000, 0.075787
2058.000000, 0.043852
2057.000000, 0.044400
2056.000000, 0.042998
2055.000000, 0.060707
2054.000000, 0.065675
2053.000000, 0.076724
2052.000000, 0.097228
2051.000000, 0.057356
2050.000000, 0.027081
2049.000000, 0.022169
2048.000000, 0.066922
2047.000000, 0.016839
2046.000000, 0.108342
2045.000000, 0.093160
2044.000000, 0.061141
2043.000000, 0.048358
2042.000000, 0.064569
2041.000000, 0.039411
2040.000000, 0.081670
2039.000000, 0.054711
2038.000000, 0.083795
2037.000000, 0.096296
2036.000000, 0.067427
2035.000000, 0.039651
2034.000000, 0.044867
2033.000000, 0.089897
2032.000000, 0.030893
2031.000000, 0.002043
2030.000000, 0.027782
2029.000000, 0.056323
2028.000000, 0.072280
2027.000000, 0.045959
2026.000000, 0.039258
2025.000000, 0.034867
2024.000000, 0.097293
2023.000000, 0.094085
2022.000000, 0.137084
2021.000000, 0.140634
2020.000000, 0.057180
2019.000000, 0.050460
2018.000000, 0.068824
2017.000000, 0.052641
2016.000000, 0.048288
2015.000000, 0.070732
2014.000000, 0.010009
2013.000000, 0.042779
2012.000000, 0.065475
2011.000000, 0.031438
2010.000000, 0.031564
2009.000000, 0.040943
2008.000000, 0.052107
2007.000000, 0.057415
2006.000000, 0.111332
2005.000000, 0.117491
2004.000000, 0.093464
2003.000000, 0.032449
2002.000000, 0.052879
2001.000000, 0.089258
2000.000000, 0.074243
1999.000000, 0.047279
1998.000000, 0.031072
1997.000000, 0.012939
1996.000000, 0.046909
1995.000000, 0.061572
1994.000000, 0.056580
1993.000000, 0.070499
1992.000000, 0.065092
1991.000000, 0.091183
1990.000000, 0.055568
1989.000000, 0.045556
1988.000000, 0.053507
1987.000000, 0.050604
1986.000000, 0.066616
1985.000000, 0.105715
1984.000000, 0.094638
1983.000000, 0.049785
1982.000000, 0.029798
1981.000000, 0.051695
1980.000000, 0.026826
1979.000000, 0.027251
1978.000000, 0.042880
1977.000000, 0.040936
1976.000000, 0.061642
1975.000000, 0.060028
1974.000000, 0.041270
1973.000000, 0.007107
1972.000000, 0.050754
